Ticker,P/E Ratio,P/E Percentile,P/B Ratio,P/B Percentile,P/S Ratio,P/S Percentile,D/E Ratio,D/E Percentile,% Change in Revenue (1-Year),1 Year Revenue Change Percentile,% Change in Revenue (3-Year),3 Year Revenue Change Percentile,% Change in EBITDA (1-Year),1 Year EBITDA Change Percentile,% Change in EBITDA (3-Year),3 Year EBITDA Change Percentile,Value Score,Growth Score,Total Score
NFLX,54.4,15.049504950495049,16.8,10.693069306930695,8.7,16.930693069306926,1.08,39.7029702970297,24.012700932724748,93.06930693069307,113.76892157701188,97.42574257425743,29.147235176548968,86.13861386138613,116.3202678197796,94.05940594059406,20.59405940594059,92.67326732673267,78.25742574257426
FTNT,97.1,5.148514851485146,46.7,3.5643564356435604,17.1,5.148514851485146,0.94,46.13861386138614,20.315398886827456,90.0990099009901,73.51170568561874,93.66336633663366,37.93103448275862,90.29702970297029,237.34939759036143,98.81188118811882,14.999999999999998,93.21782178217822,77.57425742574257
FDX,14.2,84.85148514851485,3.1,62.277227722772274,0.9,92.07920792079207,1.41,30.39603960396039,21.298235982489853,90.89108910891089,28.279602750190985,74.45544554455445,89.0530557421088,96.63366336633663,40.64451661254059,58.21782178217822,67.4009900990099,80.04950495049505,77.51980198019803
POOL,37.1,40.198019801980195,22.3,7.821782178217816,4.1,41.881188118811885,0.66,60.59405940594059,23.03125,92.07920792079207,41.212338593974174,83.36633663366337,32.88409703504043,88.11881188118812,59.03225806451613,85.94059405940594,37.62376237623762,87.37623762376238,77.42574257425743
MPWR,110.4,4.158415841584159,19.6,9.5049504950495,21.2,3.2673267326732685,2.152247899159664,16.23762376237623,34.394904458598724,96.63366336633663,79.19320594479831,94.65346534653466,55.00000000000001,93.86138613861387,95.78947368421052,93.06930693069307,8.29207920792079,94.55445544554456,77.3019801980198
ANTM,22.2,67.12871287128712,2.6,69.70297029702971,0.8,93.06930693069307,0.64,62.277227722772274,16.94030495235719,87.92079207920793,35.34912648963227,80.0,24.134621417073618,74.75247524752476,45.58340659484759,70.5940594059406,73.04455445544555,78.31683168316832,77.26237623762377
MSFT,36.0,41.881188118811885,15.3,13.861386138613867,13.1,9.702970297029708,0.42,76.73267326732673,17.531727441177498,88.11881188118812,52.3088075389634,88.7128712871287,24.42307411250603,84.15841584158416,72.0991347942104,89.5049504950495,35.54455445544555,87.62376237623762,77.20792079207921
TSLA,370.3,0.7920792079207928,28.5,5.742574257425744,19.4,3.7623762376237693,0.37,81.1881188118812,28.309870615998044,95.04950495049505,168.1860702440684,99.20792079207921,94.29622815087396,96.83168316831683,45.58340659484759,70.5940594059406,22.871287128712876,90.42079207920793,76.91089108910892
PBCT,21.9,68.51485148514851,0.9,97.72277227722772,3.4,49.306930693069305,0.21,91.48514851485149,8.138903960933261,77.02970297029702,37.16448726772196,81.78217821782178,24.134621417073618,74.75247524752476,45.58340659484759,70.5940594059406,76.75742574257426,76.03960396039604,76.18316831683168
GNRC,49.7,18.21782178217822,15.4,13.267326732673268,8.1,19.10891089108911,0.62,63.86138613861386,12.749546279491833,84.15841584158416,48.6244019138756,87.52475247524752,29.85781990521327,87.12871287128714,83.27759197324414,91.88118811881188,28.613861386138616,87.67326732673267,75.86138613861385
